Code,Hotel Name,Roomnights,Sale,Cost,Date,Country
CODE|87851,Best Western Premier Al Ahsa Grand Hotel & Suites,57,1140,1140,"01, 2019",Saudi Arabia
CODE|87816,Best Western Premier Airporthotel Fontane Berlin,1935,50310,38700,"08, 2019",Germany
CODE|87781,Best Western Premier Agung Resort Ubud,1897,37940,34146,"01, 2019",Indonesia
CODE|87746,Best Western Posada Freeman,1294,38820,25880,"06, 2019",Mexico
CODE|87711,Best Western Pony Soldier Inn & Suites,828,22356,13248,"12, 2019",USA
CODE|87676,"BEST WESTERN PLUS, Doha",832,21632,14144,"12, 2019",Qatar
CODE|87641,Best Western Plus Zanzibar,423,8460,8037,"11, 2019",Tanzania
CODE|87606,Best Western Plus Winslow Inn,987,26649,19740,"02, 2019",USA
CODE|87571,Best Western Plus Wine Country Inn & Suites,1857,38997,29712,"09, 2019",أمريكا
CODE|87536,Best Western Plus Windsor Inn,1904,38080,38080,"07, 2019",USA
CODE|87501,Best Western Plus White Bear Country Inn,1584,39600,23760,"03, 2019",USA
CODE|87466,Best Western Plus Westlands,773,18552,11595,"07, 2019",Kenya
CODE|87431,Best Western Plus West Covina Inn,507,11661,10140,"04, 2019",USA
CODE|87396,Best Western Plus Welcome Hotel Frankfurt,1672,33440,31768,"09, 2019",Germany
CODE|87361,Best Western Plus Waterloo,1962,58860,33354,"03, 2019",Canada
CODE|87326,Best Western Plus Walkerton Hotel & Conference Centre,1242,36018,23598,"04, 2019",Not Found
CODE|87291,Best Western Plus Villa Del Lago Inn,239,6931,3585,"05, 2019",USA
CODE|87256,Best Western Plus Vauxhall Hotel,60,1680,900,"06, 2019",UK
CODE|87221,Best Western Plus Urban Larco Hotel,1737,39951,26055,"02, 2019",Peru
CODE|87186,Best Western Plus Universal Inn,1421,42630,28420,"11, 2019",USA
CODE|87151,Best Western Plus Tucson Int'L Airport Hotel & Suites,1245,31125,24900,"03, 2019",USA
CODE|87116,Best Western Plus Travel Hotel Toronto Airport,1140,34200,21660,"05, 2019",Not Found
CODE|87081,Best Western Plus Toronto North York Hotel & Suites,1854,46350,33372,"09, 2019",Canada
CODE|87046,Best Western Plus Toronto Airport Hotel,698,16752,13960,"06, 2019",Canada
CODE|87011,BEST WESTERN PLUS The Tudor-Box Hill,1607,41782,25712,"01, 2019",Australia
CODE|86976,Best Western Plus The Quays Hotel Sheffield,1028,30840,16448,"04, 2019",UK
CODE|86941,Best Western Plus The Olive,1471,38246,27949,"06, 2019",Bahrain
CODE|86906,Best Western Plus The Inn At Sharon/Foxboro,410,11070,6970,"07, 2019",USA
CODE|86871,Best Western Plus The Inn At King Of Prussia,912,19152,18240,"02, 2019",USA
CODE|86836,Best Western Plus The Arden Park Hotel,249,7470,3984,"05, 2019",Canada
CODE|86801,Best Western Plus Technology Park Inn & Suites,629,18870,10064,"11, 2019",USA
CODE|86766,Best Western Plus Suites Hotel,1302,26040,19530,"09, 2019",USA
CODE|86766,Best Western Plus Suites Hotel,1302,26040,19530,"09, 2019",USA
CODE|86766,Best Western Plus Suites Hotel,1302,26040,19530,"09, 2019",USA
CODE|86766,Best Western Plus Suites Hotel,1302,26040,19530,"09, 2019",USA
CODE|86731,Best Western Plus Suitcase Paris La Défense,1900,45600,30400,"05, 2019",France
CODE|86731,Best Western Plus Suitcase Paris La Défense,1900,45600,30400,"05, 2019",France
CODE|86731,Best Western Plus Suitcase Paris La Défense,1900,45600,30400,"05, 2019",France
CODE|86731,Best Western Plus Suitcase Paris La Défense,1900,45600,30400,"05, 2019",France
CODE|86696,Best Western Plus Stovall's Inn,1313,38077,23634,"02, 2019",USA
CODE|86696,Best Western Plus Stovall's Inn,1313,38077,23634,"02, 2019",USA
CODE|86696,Best Western Plus Stovall's Inn,1313,38077,23634,"02, 2019",USA
CODE|86696,Best Western Plus Stovall's Inn,1313,38077,23634,"02, 2019",USA
CODE|86661,Best Western Plus Stoneridge Inn & Conference Centre,1713,44538,27408,"08, 2019",كندا
CODE|86626,Best Western Plus Sthlm Bromma,117,3159,2223,"08, 2019",Sweden
CODE|86591,Best Western Plus St. Rose Pkwy/Las Vegas South Hotel,571,12562,11420,"09, 2019",USA
CODE|86556,Best Western Plus St. Christopher Hotel,301,6321,5418,"07, 2019",USA
CODE|86521,Best Western Plus Spirit Mountain Duluth,1319,34294,21104,"01, 2019",USA
CODE|86486,Best Western Plus Soho Hotel,1549,34078,23235,"07, 2019",USA
CODE|86451,Best Western Plus Scottsdale Thunderbird Suites,414,8280,7452,"11, 2019",USA
CODE|86416,Best Western Plus Sands,850,24650,15300,"06, 2019",Canada
CODE|86381,Best Western Plus San Pedro Hotel & Suites,404,8080,8080,"12, 2019",Not Found
CODE|86346,BEST WESTERN PLUS Salmiya,1037,31110,18666,"04, 2019",Kuwait
CODE|86311,Best Western PLUS Roswell/Alpharetta,791,22148,12656,"07, 2019",USA
CODE|86276,Best Western Plus Rose City Suites,628,18840,10676,"04, 2019",Canada
CODE|86241,Best Western Plus Rockwall Inn & Suites,87,2436,1479,"06, 2019",USA
CODE|86206,Best Western Plus Robert Treat Hotel,159,4134,3021,"11, 2019",USA
CODE|86171,Best Western Plus Raffles Inn & Suites,653,18937,9795,"04, 2019",USA
CODE|86136,Best Western Plus Puebla,1044,22968,16704,"09, 2019",Mexico
CODE|86101,Best Western Plus Provo University Inn,893,26790,14288,"03, 2019",USA
CODE|86066,Best Western Plus Premium Inn,1360,36720,25840,"01, 2019",Bulgaria
CODE|86031,Best Western Plus Plaza Den Haag City Center,1262,27764,20192,"11, 2019",Netherlands
CODE|85996,Best Western Plus Placerville Inn,1329,34554,25251,"08, 2019",USA
CODE|85961,Best Western Plus Peterborough Orton Hall Hotel & Spa,99,2178,1782,"10, 2019",UK
CODE|85926,Best Western Plus Perth Parkside Inn & Spa,581,17430,11620,"01, 2019",Canada
CODE|85891,Best Western Plus Pepper Tree Inn,120,3000,1800,"12, 2019",USA
CODE|85856,Best Western Plus Pearl Creek,1857,48282,35283,"10, 2019",UAE
CODE|85821,Best Western Plus Pavilions,1964,45172,33388,"07, 2019",USA
CODE|85786,Best Western Plus Park Place Inn - Mini Suites,133,3325,1995,"08, 2019",USA
CODE|85751,BEST WESTERN PLUS Park Hotel Brussels,743,20061,14117,"08, 2019",Belgium
CODE|85716,Best Western Plus Paris Velizy,1003,20060,20060,"11, 2019",France
CODE|85681,Best Western Plus Paris Saclay,1200,25200,19200,"03, 2019",فرنسا
CODE|85646,Best Western Plus Paris Roissy,1057,22197,20083,"12, 2019",France
CODE|85611,BEST WESTERN PLUS Paris Orly Airport,641,16025,12820,"05, 2019",France
CODE|85576,Best Western Plus Paradise Hotel Dilijan,664,18592,12616,"07, 2019",Armenia
CODE|85541,"Best Western Plus Panama City Hotel, Panama City",890,18690,14240,"03, 2019",USA
CODE|85506,Best Western Plus Ottawa Kanata Hotel & Conference Centre,167,4342,3173,"03, 2019",Canada
CODE|85471,Best Western Plus Ottawa Downtown Suites,1808,48816,28928,"06, 2019",Canada
CODE|85436,Best Western Plus Ottawa City Centre,859,24052,16321,"07, 2019",Canada
CODE|85401,Best Western Plus Otonabee Inn,274,6302,5206,"02, 2019",Canada
CODE|85366,Best Western Plus Otay Valley Hotel,349,8027,5235,"11, 2019",USA
CODE|85331,Best Western Plus Oslo Airport,872,24416,13952,"03, 2019",Norway
CODE|85296,Best Western Plus Orangeville Inn & Suites,1951,54628,29265,"04, 2019",Canada
CODE|85261,Best Western Plus Orange County Airport North,1035,20700,18630,"02, 2019",USA
CODE|85226,Best Western Plus Oceanside Inn,170,4590,3400,"09, 2019",USA
CODE|85191,Best Western Plus Nottingham City Centre,304,8816,5168,"01, 2019",UK
CODE|85156,Best Western Plus Norwester Hotel & Conference Centre,229,5267,4580,"04, 2019",كندا
CODE|85121,Best Western Plus North Las Vegas Inn & Suites,685,15755,12330,"05, 2019",USA
CODE|85086,Best Western Plus Nobila Airport Hotel,1363,29986,21808,"03, 2019",Benin
CODE|85051,Best Western Plus Nice Cosy Hotel,1300,32500,24700,"02, 2019",France
CODE|85016,Best Western Plus Newark Airport West,1951,46824,37069,"05, 2019",USA
CODE|84981,Best Western Plus New Orleans Airport Hotel,389,9336,5835,"11, 2019",USA
CODE|84946,Best Western Plus Net Tower Hotel Padova,81,1701,1458,"10, 2019",Italy
CODE|84911,Best Western Plus Muskoka Inn,541,16230,10820,"07, 2019",Canada
CODE|84876,Best Western Plus Montreal Downtown-Hotel Europa,297,8316,5940,"01, 2019",Canada
CODE|84841,Best Western Plus Milwaukee Airport Hotel & Conference Ctr.,1578,39450,23670,"06, 2019",USA
CODE|84806,Best Western Plus Milton,922,26738,15674,"01, 2019",Canada
CODE|84771,"Best Western Plus Meridian Inn & Suites, Anaheim-Orange",1407,37989,22512,"12, 2019",USA
CODE|84736,BEST WESTERN Plus Meridian Hotel,1483,32626,23728,"08, 2019",Kenya
CODE|84701,Best Western Plus Mariposa Inn & Conference Centre,1704,51120,28968,"12, 2019",Canada
CODE|84666,Best Western Plus Marina Star Hotel Lindau,251,5522,5020,"05, 2019",Germany
CODE|84631,Best Western Plus Marina Gateway Hotel,1576,45704,28368,"03, 2019",USA
CODE|84596,BEST WESTERN PLUS Maple Leaf,544,14144,9792,"06, 2019",Bangladesh
CODE|84561,Best Western Plus Mahboula,932,26096,18640,"11, 2019",Kuwait
CODE|84526,BEST WESTERN PLUS Lusaka Grand Hotel,80,1760,1520,"10, 2019",Zambia
CODE|84491,Best Western Plus London Wembley Hotel,341,9548,5797,"01, 2019",UK
CODE|84456,Best Western Plus Lockport Hotel,1550,31000,24800,"10, 2019",USA
CODE|84421,Best Western Plus Lido Hotel,1758,36918,28128,"08, 2019",Romania
CODE|84386,Best Western Plus Lex Cebu,305,6100,4880,"06, 2019",Philippines
CODE|84351,BEST WESTERN PLUS Leone di Messapia Lecce,1892,56760,37840,"03, 2019",Italia
CODE|84316,Best Western Plus Leamington Hotel & Conference Centre,1124,26976,17984,"03, 2019",Canada
CODE|84281,Best Western Plus Las Vegas West,496,11408,7936,"12, 2019",USA
CODE|84246,Best Western Plus Larco Hotel,851,19573,13616,"02, 2019",Cyprus
CODE|84211,Best Western Plus Lamplighter Inn & Conference Centre,617,14808,11106,"05, 2019",Canada
CODE|84176,Best Western Plus LA Mid-Town Hotel,542,16260,9214,"09, 2019",USA
CODE|84141,Best Western Plus La Demeure,1498,40446,22470,"07, 2019",France
CODE|84106,Best Western Plus Kissimmee-Lake Buena Vista South Inn & Suites,849,22074,12735,"04, 2019",USA
CODE|84071,BEST WESTERN PLUS Khan Hotel,134,2680,2680,"08, 2019",Turkey
CODE|84036,Best Western Plus Kemayoran Hotel,1849,48074,27735,"09, 2019",إندونيسيا
CODE|84001,Best Western Plus John Bauer Hotel,1263,36627,22734,"07, 2019",Sweden
CODE|83966,Best Western Plus Island Palms Hotel & Marina,4,84,76,"04, 2019",USA
CODE|83931,Best Western Plus Inn Of Hayward,1868,48568,29888,"05, 2019",USA
CODE|83896,Best Western Plus Hotel Universo,1299,36372,23382,"11, 2019",Italy
CODE|83861,BEST WESTERN PLUS Hotel Stellar,1489,29780,28291,"01, 2019",Australia
CODE|83826,BEST WESTERN PLUS Hotel Steinsgarten,1058,26450,17986,"10, 2019",Not Found
CODE|83791,BEST WESTERN PLUS Hotel Steglitz International,1454,43620,21810,"02, 2019",Germany
CODE|83756,Best Western Plus Hotel Spring House,410,9430,6560,"11, 2019",Italy
CODE|83721,"Best Western Plus Hotel Plaza, Vasteras",1421,36946,28420,"12, 2019",Sweden
CODE|83686,Best Western Plus Hotel Plaza,1646,34566,32920,"09, 2019",Greece
CODE|83651,BEST WESTERN PLUS Hotel Piramida,448,12096,8512,"03, 2019",Slovenia
CODE|83616,Best Western Plus Hotel Noble House,762,22098,13716,"02, 2019",Sweden
CODE|83581,Best Western Plus Hôtel Monopole Métropole,1622,34062,29196,"04, 2019",France
CODE|83546,BEST WESTERN PLUS Hotel Mirabeau Lausanne,549,16470,10431,"09, 2019",Switzerland
CODE|83511,Best Western Plus Hotel Konak,1142,28550,18272,"08, 2019",Turkey
CODE|83476,Best Western Plus Hotel Haarhuis,1724,37928,31032,"01, 2019",Netherlands
CODE|83441,Best Western Plus Hotel Genova,981,24525,14715,"09, 2019",Italy
